"Id","SkuId","Type","Name","Image"
"6778091967728545792","6778091965677531136","尺码",,
"6778091970148659200","6778091969137831936","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/168291/21/11730/196715/6049cc76E3a0a5d28/06dadffed5146a8d.jpg!cc_60x76.jpg"
"6778091971209818112","6778091969137831936","尺码",,
"6778091973558628352","6778091972572966912","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/168291/21/11730/196715/6049cc76E3a0a5d28/06dadffed5146a8d.jpg!cc_60x76.jpg"
"6778091974586232832","6778091972572966912","尺码",,
"6778091976968597504","6778091975945187328","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/168291/21/11730/196715/6049cc76E3a0a5d28/06dadffed5146a8d.jpg!cc_60x76.jpg"
"6778091977979424768","6778091975945187328","尺码",,
"6778091980315652096","6778091979367739392","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/168291/21/11730/196715/6049cc76E3a0a5d28/06dadffed5146a8d.jpg!cc_60x76.jpg"
"6778091981292924928","6778091979367739392","尺码",,
"6778091983629152256","6778091982580576256","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/168291/21/11730/196715/6049cc76E3a0a5d28/06dadffed5146a8d.jpg!cc_60x76.jpg"
"6778091984614813696","6778091982580576256","尺码",,
"6778091987030732800","6778091986036682752","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/168291/21/11730/196715/6049cc76E3a0a5d28/06dadffed5146a8d.jpg!cc_60x76.jpg"
"6778091988049948672","6778091986036682752","尺码",,
"6778091990595891200","6778091989463429120","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/168291/21/11730/196715/6049cc76E3a0a5d28/06dadffed5146a8d.jpg!cc_60x76.jpg"
"6778091991568969728","6778091989463429120","尺码",,
"6778091993947140096","6778091992948895744","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/168291/21/11730/196715/6049cc76E3a0a5d28/06dadffed5146a8d.jpg!cc_60x76.jpg"
"6778091995004104704","6778091992948895744","尺码",,
